satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Male,Loyal Customer,54,Business travel,Business,872,5,2,5,5,3,4,5,1,1,2,1,4,1,5,98,113
satisfied,Female,Loyal Customer,41,Business travel,Business,4867,1,1,1,1,5,5,5,3,5,5,4,5,4,5,159,157
dissatisfied,Female,Loyal Customer,27,Business travel,Business,4022,4,2,2,2,4,4,4,3,2,3,2,4,3,4,0,0
dissatisfied,Female,disloyal Customer,25,Business travel,Eco,2382,3,4,4,3,5,4,4,5,2,4,1,3,1,5,0,0
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,2201,5,2,5,5,4,5,4,4,4,4,5,4,4,4,0,0
satisfied,Female,Loyal Customer,46,Business travel,Business,3153,1,1,1,1,2,5,4,5,5,5,5,4,5,3,74,73
dissatisfied,Female,Loyal Customer,46,Business travel,Eco,636,3,4,4,4,2,4,4,3,3,3,3,1,3,3,2,0
dissatisfied,Male,Loyal Customer,32,Business travel,Business,2264,2,2,5,2,2,2,2,2,4,5,4,3,4,2,0,4
satisfied,Female,Loyal Customer,42,Business travel,Business,1547,5,4,5,5,3,4,5,4,4,4,4,4,4,5,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco Plus,578,1,1,1,1,5,5,4,4,4,4,4,4,4,3,6,0
satisfied,Male,Loyal Customer,8,Personal Travel,Business,2512,4,1,4,3,1,4,1,1,3,5,3,4,4,1,6,0
dissatisfied,Female,Loyal Customer,11,Personal Travel,Eco,2152,4,4,4,3,3,4,5,3,5,3,4,3,4,3,0,0
satisfied,Female,Loyal Customer,66,Personal Travel,Eco,351,3,3,5,3,5,5,4,4,4,4,4,3,4,4,47,37
satisfied,Female,Loyal Customer,56,Business travel,Business,2403,3,3,3,3,3,4,5,4,4,4,4,3,4,5,0,0
dissatisfied,Male,disloyal Customer,27,Business travel,Eco,2557,2,2,2,1,5,2,5,5,3,2,4,1,4,5,0,0
dissatisfied,Male,Loyal Customer,57,Business travel,Eco Plus,1963,2,5,5,5,2,2,2,2,1,4,4,1,4,2,1,0
dissatisfied,Female,Loyal Customer,55,Business travel,Eco,710,3,4,4,4,2,4,3,2,2,3,2,1,2,1,0,0
dissatisfied,Female,Loyal Customer,58,Business travel,Eco,596,3,4,4,4,3,4,4,3,3,3,3,4,3,3,7,11
dissatisfied,Female,disloyal Customer,37,Business travel,Eco,1099,1,0,1,1,3,1,3,3,4,2,4,3,2,3,0,0
dissatisfied,Female,disloyal Customer,41,Business travel,Eco,2314,2,4,2,3,1,2,1,1,2,2,5,4,1,1,0,5
satisfied,Female,Loyal Customer,12,Personal Travel,Business,1652,5,4,4,4,4,1,1,5,5,5,5,4,5,3,38,20
satisfied,Female,disloyal Customer,21,Business travel,Business,2592,5,5,5,3,2,5,2,2,4,4,5,4,5,2,3,2
satisfied,Female,Loyal Customer,55,Business travel,Business,1577,1,1,1,1,2,4,4,3,3,4,3,4,3,4,0,0
satisfied,Female,Loyal Customer,24,Personal Travel,Eco,4250,1,1,1,1,2,4,5,4,4,4,4,5,4,5,3,0
satisfied,Male,Loyal Customer,67,Personal Travel,Eco Plus,1417,5,3,5,3,1,5,3,1,3,2,4,4,3,1,0,0
satisfied,Male,Loyal Customer,53,Business travel,Business,2493,4,4,2,4,5,4,5,5,5,5,5,3,5,3,1,0
dissatisfied,Female,Loyal Customer,45,Personal Travel,Business,1440,3,5,3,5,5,5,4,2,2,3,2,3,2,5,0,0
satisfied,Female,Loyal Customer,42,Business travel,Eco,425,4,4,4,4,1,4,3,4,4,4,4,4,4,3,11,1
dissatisfied,Female,Loyal Customer,39,Personal Travel,Eco,2760,4,5,4,5,4,4,4,4,3,5,5,3,5,4,0,0
satisfied,Male,Loyal Customer,36,Business travel,Business,3025,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,0
