"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy","precision","recall","sensitivity","specificity"
"XGBoostWoE","finished","-","rahav-manoharan","","2021-11-26T18:07:02.000Z","30","","0.96","0.95","0.96","0.96","0.95"
"XGBoostTarget","finished","-","rahav-manoharan","","2021-11-26T18:04:14.000Z","28","","0.96","0.95","0.96","0.96","0.95"
"XGBoostOHE","finished","-","rahav-manoharan","","2021-11-26T17:58:20.000Z","29","","0.96","0.94","0.96","0.96","0.95"
"DecisionTreeWithWoE","finished","-","rahav-manoharan","","2021-11-26T18:04:45.000Z","28","","0.93","0.91","0.94","0.94","0.93"
"DecisionTreeWithOHE","finished","-","rahav-manoharan","","2021-11-26T17:54:43.000Z","31","","0.93","0.91","0.94","0.94","0.93"
"DecisionTreeWithTarget","finished","-","rahav-manoharan","","2021-11-26T18:01:00.000Z","29","","0.93","0.91","0.94","0.94","0.93"
"RandomForestWoE","finished","-","rahav-manoharan","","2021-11-26T18:05:23.000Z","39","","0.91","0.9","0.89","0.89","0.92"
"RandomForestOHE","finished","-","rahav-manoharan","","2021-11-26T17:56:21.000Z","56","","0.91","0.89","0.91","0.91","0.91"
"RandomForestTarget","finished","-","rahav-manoharan","","2021-11-26T18:01:39.000Z","52","","0.91","0.9","0.89","0.89","0.92"
"LogisticRegressionWoE","finished","-","rahav-manoharan","","2021-11-26T18:06:05.000Z","26","","0.83","0.82","0.82","0.82","0.85"
"LogisticRegressionTarget","finished","-","rahav-manoharan","","2021-11-26T18:02:35.000Z","68","","0.83","0.81","0.82","0.82","0.85"
"LogisticRegressionOHE","finished","-","rahav-manoharan","","2021-11-26T17:57:20.000Z","26","","0.83","0.82","0.82","0.82","0.85"
