satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Male,Loyal Customer,42,Business travel,Business,2746,5,5,5,5,3,4,4,1,1,2,1,4,1,4,0,0
satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2360,0,5,0,2,3,0,3,3,4,5,4,3,4,3,0,0
dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,2029,1,5,3,3,2,3,2,2,4,3,4,5,5,2,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,1361,5,2,5,3,4,5,4,4,2,4,3,1,4,4,0,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,2176,1,5,1,2,2,1,5,2,4,5,4,4,4,2,21,14
dissatisfied,Male,Loyal Customer,23,Business travel,Eco,2141,2,3,3,3,2,2,1,2,3,2,4,3,3,2,0,0
satisfied,Female,Loyal Customer,43,Business travel,Business,228,1,1,1,1,3,5,5,4,4,4,4,3,4,3,12,7
satisfied,Male,Loyal Customer,43,Business travel,Business,2608,3,3,3,3,3,4,4,5,5,5,5,5,5,5,0,0
dissatisfied,Female,Loyal Customer,14,Personal Travel,Eco,1752,4,3,4,2,3,4,2,3,4,3,5,4,2,3,20,23
satisfied,Female,Loyal Customer,33,Business travel,Business,2123,2,2,2,2,5,4,5,5,5,5,5,3,5,5,0,0
satisfied,Male,Loyal Customer,47,Business travel,Business,3590,3,3,3,3,3,4,4,5,5,5,5,4,5,5,3,0
dissatisfied,Male,Loyal Customer,35,Personal Travel,Business,292,1,4,0,2,4,4,4,3,3,0,3,5,3,5,0,0
dissatisfied,Female,disloyal Customer,37,Business travel,Eco,2678,4,4,4,3,4,4,4,4,2,4,5,4,3,4,0,0
satisfied,Male,disloyal Customer,21,Business travel,Eco,980,5,0,5,2,1,5,1,1,4,2,4,4,3,1,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2505,2,2,2,2,5,4,3,4,4,5,4,1,4,2,14,17
satisfied,Male,disloyal Customer,22,Business travel,Business,4973,0,5,0,1,0,3,3,1,1,2,2,3,3,3,6,0
satisfied,Male,Loyal Customer,60,Business travel,Eco,1198,4,2,2,2,4,4,4,4,3,2,4,3,1,4,27,24
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,2926,3,4,3,2,5,3,5,5,3,5,2,2,5,5,0,3
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco Plus,1345,4,5,4,5,1,4,1,1,5,2,4,3,4,1,7,11
satisfied,Female,Loyal Customer,33,Business travel,Business,3155,1,1,1,1,4,2,1,5,5,5,5,1,5,2,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,555,3,5,5,5,3,4,4,3,3,1,1,3,4,3,0,0
satisfied,Male,Loyal Customer,42,Business travel,Business,3215,3,3,5,3,3,5,3,4,4,4,4,2,4,3,0,0
satisfied,Female,Loyal Customer,41,Business travel,Business,2489,1,2,1,1,4,5,4,5,5,5,5,3,5,4,0,0
satisfied,Female,Loyal Customer,42,Business travel,Business,3029,5,5,5,5,2,2,3,4,4,4,4,1,4,4,0,0
dissatisfied,Female,disloyal Customer,34,Business travel,Business,2284,2,2,2,1,1,2,1,1,3,2,4,3,4,1,3,1
dissatisfied,Female,Loyal Customer,39,Business travel,Business,1620,1,1,1,1,1,3,3,1,1,1,1,1,1,3,30,24
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,1351,5,5,0,3,2,0,2,2,4,2,5,4,4,2,0,0
satisfied,Female,Loyal Customer,29,Business travel,Business,5022,3,3,3,3,5,4,5,5,3,5,5,4,4,5,12,11
satisfied,Female,disloyal Customer,29,Business travel,Business,2700,0,0,0,5,5,0,5,5,5,3,5,5,4,5,29,3
satisfied,Female,Loyal Customer,57,Business travel,Business,1540,1,1,1,1,3,4,5,2,2,2,2,4,2,3,1,1
dissatisfied,Male,disloyal Customer,32,Business travel,Eco,1552,3,4,3,4,2,3,5,2,1,2,3,4,4,2,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,3731,3,5,3,1,5,3,5,5,2,3,5,3,5,5,28,0
dissatisfied,Male,Loyal Customer,14,Personal Travel,Eco,2713,3,4,3,2,1,3,1,1,4,5,5,4,5,1,25,31
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2313,5,4,5,3,3,5,5,3,2,3,4,2,4,3,3,0
satisfied,Male,Loyal Customer,48,Business travel,Eco,2041,5,2,2,2,5,5,5,5,3,1,2,5,1,5,0,5
dissatisfied,Female,disloyal Customer,35,Business travel,Eco,1950,2,1,1,4,2,1,2,2,4,4,3,2,3,2,42,34
satisfied,Male,Loyal Customer,37,Business travel,Eco,1752,4,5,5,5,4,4,4,4,4,1,3,5,5,4,0,1
dissatisfied,Female,Loyal Customer,15,Business travel,Business,5160,3,2,2,2,3,3,3,3,3,5,4,1,3,3,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,1736,2,2,2,2,3,5,5,4,4,4,4,3,4,5,0,0
dissatisfied,Male,Loyal Customer,39,Personal Travel,Business,83,3,1,3,4,1,3,3,2,2,3,4,4,2,2,0,0
dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,1740,4,3,4,3,2,4,2,2,5,5,2,4,1,2,20,12
satisfied,Female,Loyal Customer,56,Business travel,Business,1029,4,4,4,4,3,5,5,4,4,4,4,4,4,4,0,0
satisfied,Female,Loyal Customer,55,Business travel,Business,3622,5,5,5,5,3,4,5,4,4,5,4,4,4,5,0,0
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,2494,5,1,1,1,5,5,5,5,3,3,4,4,3,5,0,0
satisfied,Male,disloyal Customer,49,Business travel,Business,2469,3,3,3,3,5,3,5,5,5,2,5,3,4,5,0,4
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,2529,3,5,3,2,4,3,4,4,3,4,5,5,4,4,0,0
satisfied,Female,Loyal Customer,39,Business travel,Business,1436,2,2,2,2,3,5,5,5,5,5,5,3,5,5,0,0
dissatisfied,Male,Loyal Customer,29,Business travel,Business,1022,2,2,2,2,2,2,2,2,2,3,4,2,4,2,0,0
dissatisfied,Female,Loyal Customer,36,Business travel,Business,1568,2,2,4,2,1,4,4,2,2,2,2,1,2,4,0,0
dissatisfied,Female,disloyal Customer,12,Business travel,Eco Plus,1643,2,2,2,4,5,2,2,5,2,1,4,3,3,5,5,0
satisfied,Male,Loyal Customer,59,Business travel,Business,2539,1,1,1,1,5,4,5,4,4,5,4,4,4,4,0,1
dissatisfied,Female,disloyal Customer,30,Business travel,Eco,1790,3,4,3,1,3,3,3,3,2,1,3,4,1,3,19,10
satisfied,Male,Loyal Customer,44,Business travel,Business,2137,3,3,3,3,5,2,2,5,5,5,5,4,5,2,0,0
